x,y
-1.829979256902435347e+00,-1.188402111255432603e+00
-1.804814980812573966e+00,-1.217362757909413506e+00
-1.720219361421630344e+00,-1.204510252362741340e+00
-1.669811136711874422e+00,-1.213188492741958502e+00
-1.620431634854463399e+00,-1.221082509408504491e+00
-1.578385708122470366e+00,-1.233169753295933369e+00
-1.518543358104225582e+00,-1.229691853534740087e+00
-1.493786856643282368e+00,-1.253435683585829574e+00
-1.439231284910376774e+00,-1.251104352645429740e+00
-1.394882976054432122e+00,-1.255957955686021199e+00
-1.356661290086869087e+00,-1.265106799737661047e+00
-1.322146757384917493e+00,-1.276781958397898098e+00
-1.128542535432635052e+00,-1.128542248074645427e+00
-1.123957413439979014e+00,-1.163891675169212547e+00
-1.031181638385384014e+00,-1.105806638591089630e+00
-1.092021285623890892e+00,-1.212812191617057778e+00
-1.104147489729806031e+00,-1.270176056691013633e+00
-1.061885264022264019e+00,-1.265505243846698713e+00
-1.037120173054008276e+00,-1.280736410402642189e+00
-1.007837982724724357e+00,-1.289973443544928156e+00
-9.635059913689908440e-01,-1.278615285713078364e+00
-9.328153726731776008e-01,-1.283909856592397425e+00
-8.833078578440061168e-01,-1.261493999501527075e+00
-8.645124020535258635e-01,-1.281691974887370078e+00
-8.425567886863466471e-01,-1.297423298011861403e+00
-8.033577948969845561e-01,-1.285640833083110168e+00
-7.725572862442771083e-01,-1.285750846575991035e+00
-7.345001637053995003e-01,-1.272191202721011383e+00
-7.155791519454027805e-01,-1.290938547617013876e+00
-6.835507575740763508e-01,-1.285571575498548169e+00
-6.560164729668114258e-01,-1.287504383985825562e+00
-6.312546551521872606e-01,-1.294263390946224002e+00
-6.051895480626864332e-01,-1.297832704304596740e+00
-5.739055882363849337e-01,-1.289012573045280163e+00
-5.575735218265873705e-01,-1.313560390086291552e+00
-5.233255759747074132e-01,-1.295275729833667011e+00
-4.984900124038645908e-01,-1.298610333294688557e+00
-4.723300158590011955e-01,-1.297715481920736602e+00
-4.430984220422770070e-01,-1.286850663454643717e+00
-4.233534695563206940e-01,-1.302947371492787498e+00
-3.999646882650857438e-01,-1.308224878083698473e+00
